id,name,type,categories,road_address,address,phone,lat,lng,distance_m,business_status,business_status_detail,review_count,place_review_count,menu_exists,menu_info,thumbnail_url,homepage,naver_map_url,mobile_place_url,source_queries
1981144346,블루포트 원광대학교 새천년관점,cafe,"음식점 > 카페,디저트",전북특별자치도 익산시 익산대로 460 새천년관 1층,전북특별자치도 익산시 신동 272 새천년관 1층,,35.9705123,126.958474,156,,,4,1,True,"아메리카노 2,100 | 스페셜 아메리카노 3,100 | 디카페인 아메리카노 3,100 | (NEW) 캐모마일핑크리치 3,800 | (NEW) 페퍼민트라임 3,800 | (NEW) 그린청귤깔라만시 3,800 | (NEW) 히비스커스 패션프룻 3,200",https://ldb-phinf.pstatic.net/20260409_109/1775709882873tzujN_PNG/%C0%FC%C3%BC_%B7%CE%B0%ED%BB%E7%C1%F8_260409.png,http://www.bluepot.kr/,https://map.naver.com/p/entry/place/1981144346,https://m.place.naver.com/restaurant/1981144346/home,원광대학교 음식점 | 원광대학교 카페 | 원광대 음식점 | 원광대 카페 | 원광대 맛집
1725441065,9커피,cafe,"음식점 > 카페,디저트",전북특별자치도 익산시 익산대로76길 107-3 9커피,전북특별자치도 익산시 신용동 18-2 9커피,0507-1429-0441,35.9720996,126.9596057,359,오늘 휴무,매주 일요일 휴무,11,265,True,"시그니처커피 3,300 | 수박음료(여름) 변동가격(업주문의) | 딸기음료(봄) 변동가격(업주문의) | 바스크치즈케익 변동가격(업주문의) | 버블티 3,900 | 라떼 3,500 | 에이드 3,800 | 치즈프라페 4,000 | 요거트 3,500 | 담백한 차 3,000 | 달달한 차 3,000 | 쉐이크 3,900 | 밀크쉐이크 3,000 | 프라페 4,000 | 생과일 쥬스 3,500 | 스무디 3,000 | 아이스티 2,500 | 아메리카노 2,000",https://ldb-phinf.pstatic.net/20240112_155/17050690635789fJhw_JPEG/20240112_180635.jpg,,https://map.naver.com/p/entry/place/1725441065,https://m.place.naver.com/restaurant/1725441065/home,원광대학교 음식점 | 원광대학교 카페 | 원광대 음식점 | 원광대 카페 | 원광대 맛집
1936673605,투썸플레이스 익산원광대병원점,cafe,"카페,디저트 > 카페",전북특별자치도 익산시 무왕로 895 원광대학교병원 병동 2관 1층,전북특별자치도 익산시 신동 272 원광대학교병원 병동 2관 1층,063-841-2388,35.965555,126.9602981,507,영업 종료,17:00에 영업종료,8,268,True,"바닐라라떼 5,700 | 카페라떼 5,200 | 떠먹는아박 6,800 | 스초생 39,000 | 아메리카노 4,700",,,https://map.naver.com/p/entry/place/1936673605,https://m.place.naver.com/restaurant/1936673605/home,원광대학교 카페 | 원광대 카페
36439473,파리바게뜨 원광대병원점,cafe,"카페,디저트 > 베이커리",전북특별자치도 익산시 무왕로 895 원광대병원 종합건강증진센터 1층,전북특별자치도 익산시 신동 272 원광대병원 종합건강증진센터 1층,063-852-8208,35.9655489,126.9603415,510,영업 중,22:30에 영업종료,7,743,True,,https://ldb-phinf.pstatic.net/20220413_198/1649841292803ny64T_PNG/image.png,https://www.paris.co.kr/,https://map.naver.com/p/entry/place/36439473,https://m.place.naver.com/restaurant/36439473/home,원광대학교 음식점 | 원광대학교 카페 | 원광대 음식점 | 원광대 카페 | 원광대 맛집
1318919598,오아시스,cafe,"음식점 > 카페,디저트",전북특별자치도 익산시 익산대로76길 88,전북특별자치도 익산시 신용동 7-1,063-833-8787,35.9724699,126.9616633,514,영업 중,20:20에 라스트오더,255,397,True,"오아시스 A세트 39,000 | 마르게리따 18,000 | 말차라떼 6,000 | 초코라떼 6,000 | 콜라 에이드 2,500 | 제로콜라 에이드 2,500 | 사이다 에이드 2,500 | 에스프레소 3,500 | 바닐라라떼 5,000 | 카페라떼 4,500 | 히말라야쏠티 카라멜크림라떼 6,000 | 얼그레이 헤이즐넛 크림라떼 6,000 | 아메리카노 4,000 | 베이비딸기크림라떼 6,000 | 헤이즐넛슈페너 5,500 | 떡볶이 7,000 | 샐러드 7,000",https://naverbooking-phinf.pstatic.net/20250728_40/1753713313970GBK4b_PNG/Gemini_Generated_Image_673tw6673tw6673t.png,,https://map.naver.com/p/entry/place/1318919598,https://m.place.naver.com/restaurant/1318919598/home,원광대학교 음식점 | 원광대학교 카페 | 원광대 음식점 | 원광대 카페 | 원광대 맛집
1272834630,베블,cafe,"음식점 > 카페,디저트",전북특별자치도 익산시 익산대로74길 11-2 1층,전북특별자치도 익산시 신용동 333-173 1층,0507-1355-6663,35.974008,126.9559863,523,영업 중,18:50에 라스트오더,11,24,True,"냉율무라떼 3,500 | 아메리카노 2,500 | 카페라떼 3,000 | 청포도스무디 3,500 | 자몽스무디 3,500",https://ldb-phinf.pstatic.net/20230424_132/1682298942114d9ikM_JPEG/IMG_5037.jpeg,,https://map.naver.com/p/entry/place/1272834630,https://m.place.naver.com/restaurant/1272834630/home,원광대학교 음식점 | 원광대학교 카페 | 원광대 음식점 | 원광대 카페 | 원광대 맛집
37741932,파노파니,restaurant,음식점 > 양식,전북특별자치도 익산시 무왕로 861 파노파니 레스토랑,전북특별자치도 익산시 신동 328-23 파노파니 레스토랑,063-853-5533,35.9652053,126.9547148,527,영업 중,20:00에 라스트오더,74,234,True,"살치살 스테이크 69,000 | 라자냐 ( 1일 10개 한정 ) 23,000 | 라구 볼로네제 파파델리 파스타 22,000 | 크림 볼로네제 파케리 파스타 22,000 | 봉골레 링귀니 파스타 18,000 | 고르곤 시금치 크림 링귀니 파스타 18,000 | 라구 버섯 리소토 22,000 | 바질페스토 감베리 필라프 18,000 | 팟타이 감베리 필라프 18,000 | 목살 필라프 18,000 | 루꼴라 프로슈토 피자 20,000 | 치즈롤 돈까스 19,000 | 매운 치즈롤 돈까스 19,000 | 버섯샐러드 22,000 | 수제 리코타치즈 샐러드 19,000 | 핸드드립 6,000~12,000 | 아메리카노 5,000 | 카페라떼 5,500 | 아포카토 7,000",https://ldb-phinf.pstatic.net/20240424_222/1713961907877XuuKH_JPEG/IMG_1840.jpeg,https://www.instagram.com/pano_pani/,https://map.naver.com/p/entry/place/37741932,https://m.place.naver.com/restaurant/37741932/home,원광대학교 음식점 | 원광대 음식점 | 원광대 맛집
1107308415,공차 원광대병원점,cafe,"카페,디저트 > 차",전북특별자치도 익산시 무왕로 895 외래3관 2층,전북특별자치도 익산시 신동 272 외래3관 2층,0507-1431-7111,35.9646388,126.9595793,570,오늘 휴무,05/17 휴무,5,132,True,"블랙밀크티+펄 5,100",https://ldb-phinf.pstatic.net/20230613_288/1686653535634o3xpa_JPEG/1686653493310-0.jpg,,https://map.naver.com/p/entry/place/1107308415,https://m.place.naver.com/restaurant/1107308415/home,원광대학교 카페 | 원광대 카페
37259329,그날애 김밥판다 원대점,restaurant,분식 > 종합분식,전북특별자치도 익산시 무왕로 876,전북특별자치도 익산시 신동 761-26,063-858-7654,35.9642446,126.9559516,591,영업 중,22:50에 라스트오더,42,1055,True,"흑미김밥 3,000 | 고기만두 4,000 | 제육덮밥 7,500 | 참치김밥 4,000 | 김치만두 4,000 | 엉터리김밥 3,500 | 고추김밥 4,000 | 치즈김밥 4,000 | 김치김밥 4,000 | 샐러드김밥 4,000 | 돈까스김밥 4,000 | 고추참치김밥 4,500 | 참치김치김밥 4,500 | 소고기김밥 4,500 | 새우김밥 4,500 | 라면 4,500 | 떡라면 5,000 | 김치라면 5,000 | 만두라면 5,000 | 치즈라면 5,000 | 참뽕라면 6,000 | 우동 4,000 | 김치우동 5,000 | 오뎅 4,500 | 떡볶이 5,000 | 치즈떡볶이 5,000 | 모듬떡볶이 5,000 | 라볶이 4,500 | 치즈라볶이 5,500 | 모듬라볶이 5,500 | 탕수육 5,000 | 갈비만두 5,000 | 모듬만두 5,500 | 물만두 4,000 | 군만두 4,500 | 만두국 6,000 | 떡만두국 6,000 | 떡국 6,000 | 왕 돈까스 8,000 | 치즈돈까스 8,000 | 고구마돈까스 8,000 | 떡갈비 8,000 | 쫄면 6,000 | 칼국수 6,500 | 잔치국수 6,500 | 비빔국수 6,500 | 물냉면 6,500 | 비빔냉면 6,500 | 손수제비 7,000 | 들깨손수제비 7,500",https://ldb-phinf.pstatic.net/20250704_4/1751631042748RMBdw_JPEG/24583.jpg,,https://map.naver.com/p/entry/place/37259329,https://m.place.naver.com/restaurant/37259329/home,원광대학교 음식점 | 원광대 음식점 | 원광대 맛집
1057976333,버거킹 원광대점,restaurant,양식 > 햄버거,전북특별자치도 익산시 무왕로 893,전북특별자치도 익산시 신동 272,063-851-0111,35.9641441,126.9579091,591,영업 중,22:00에 영업종료,48,2049,True,"통새우와퍼주니어세트 7,800 | 통새우와퍼세트 10,400 | 와퍼세트 9,600 | 콰트로치즈와퍼세트 10,400 | 치즈와퍼세트 10,200 | 와퍼주니어세트 7,200 | 불고기와퍼주니어 7,200 | 콰트로치즈와퍼주니어세트 7,800 | 치즈와퍼주니어세트 7,500 | 프렌치프라이(R)~(L) 2,300~2,800 | 리얼 어니언링 2,800 | 너켓킹(4~10조각) 2,300~5,600",https://ldb-phinf.pstatic.net/20180403_296/1522728693096WfMT6_JPEG/XYxmhiiOC6neWl_b_SQJFN3_.jpg,http://www.burgerking.co.kr,https://map.naver.com/p/entry/place/1057976333,https://m.place.naver.com/restaurant/1057976333/home,원광대학교 음식점 | 원광대 음식점 | 원광대 맛집
